timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646471468056,100,Login Request,200,OK,Puzzles Thread Group 1-1,text,true,,1322,261,1,1,http://puzzles.weatherapp.com/gateway/login,100,0,1
1646471487690,424,Login Request,200,OK,Puzzles Thread Group 1-2,text,true,,1322,261,2,2,http://puzzles.weatherapp.com/gateway/login,424,0,1
1646471507692,43,Login Request,200,OK,Puzzles Thread Group 1-3,text,true,,1322,261,3,3,http://puzzles.weatherapp.com/gateway/login,43,0,1
1646471527691,363,Login Request,200,OK,Puzzles Thread Group 1-4,text,true,,1322,261,4,4,http://puzzles.weatherapp.com/gateway/login,363,0,0
1646471547691,1135,Login Request,200,OK,Puzzles Thread Group 1-5,text,true,,1322,261,5,5,http://puzzles.weatherapp.com/gateway/login,1134,0,1
1646471468157,180054,Search Data Request,504,Gateway Time-out,Puzzles Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[504]]]

****** comparison: [[[200]]]

/",300,401,5,5,http://puzzles.weatherapp.com/gateway/radar/plot?radar_id=KBLX&date=2021-06-16&hour=21,180054,0,0
1646471488115,180019,Search Data Request,504,Gateway Time-out,Puzzles Thread Group 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[504]]]

****** comparison: [[[200]]]

/",300,401,4,4,http://puzzles.weatherapp.com/gateway/radar/plot?radar_id=KBGM&date=2021-06-16&hour=21,180019,0,0
1646471528055,151578,Search Data Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Puzzles Thread Group 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2556,0,3,3,http://puzzles.weatherapp.com/gateway/radar/plot?radar_id=KABX&date=2021-06-17&hour=21,0,0,0
1646471548826,130807,Search Data Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Puzzles Thread Group 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2556,0,3,3,http://puzzles.weatherapp.com/gateway/radar/plot?radar_id=KFDR&date=2021-06-17&hour=21,0,0,0
1646471507735,171898,Search Data Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Puzzles Thread Group 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/",2556,0,3,3,http://puzzles.weatherapp.com/gateway/radar/plot?radar_id=KABR&date=2021-06-16&hour=21,0,0,0
